#SampleID	BarcodeSequence	LinkerPrimerSequence	Samples	Description
BC01	BARCODE_PH	LINKER_PH	1	unirrigated_clay_soil
BC02	BARCODE_PH	LINKER_PH	2	unirrigated_clay_soil
BC03	BARCODE_PH	LINKER_PH	3	unirrigated_clay_soil
BC04	BARCODE_PH	LINKER_PH	4	unirrigated_clay_soil
BC05	BARCODE_PH	LINKER_PH	5	unirrigated_clay_soil
BC06	BARCODE_PH	LINKER_PH	6	tww_plus_plastic_soil_bacteria_110515
BC13	BARCODE_PH	LINKER_PH	7	pw_minus_plastic_soil_bacteria_110515
BC14	BARCODE_PH	LINKER_PH	8	tww_plus_plastic_soil_bacteria_110515
BC15	BARCODE_PH	LINKER_PH	9	tww_minus_plastic_soil_bacteria_110515
BC16	BARCODE_PH	LINKER_PH	10	pw_minus_plastic_soil_bacteria_110515
BC17	BARCODE_PH	LINKER_PH	11	pw_plus_plastic_soil_bacteria_110515
BC18	BARCODE_PH	LINKER_PH	12	pw_plus_plastic_soil_bacteria_110515
BC25	BARCODE_PH	LINKER_PH	13	pw_minus_plastic_soil_bacteria_110515
BC26	BARCODE_PH	LINKER_PH	14	tww_minus_plastic_soil_bacteria_110515
BC27	BARCODE_PH	LINKER_PH	15	tww_plus_plastic_soil_bacteria_110515
BC28	BARCODE_PH	LINKER_PH	16	pw_minus_plastic_soil_bacteria_110515
BC29	BARCODE_PH	LINKER_PH	17	tww_minus_plastic_soil_bacteria_110515
BC30	BARCODE_PH	LINKER_PH	18	tww_minus_plastic_soil_bacteria_110515
BC37	BARCODE_PH	LINKER_PH	19	tww_plus_plastic_soil_bacteria_110515
BC38	BARCODE_PH	LINKER_PH	20	pw_minus_plastic_soil_bacteria_110515
BC39	BARCODE_PH	LINKER_PH	21	pw_plus_plastic_soil_bacteria_110515
BC40	BARCODE_PH	LINKER_PH	22	tww_plus_plastic_soil_bacteria_130715
BC41	BARCODE_PH	LINKER_PH	23	tww_minus_plastic_soil_bacteria_130715
BC42	BARCODE_PH	LINKER_PH	24	pw_minus_plastic_soil_bacteria_130715
BC49	BARCODE_PH	LINKER_PH	25	pw_plus_plastic_soil_bacteria_130715
BC50	BARCODE_PH	LINKER_PH	26	tww_plus_plastic_soil_bacteria_130715
BC51	BARCODE_PH	LINKER_PH	27	tww_minus_plastic_soil_bacteria_130715
BC52	BARCODE_PH	LINKER_PH	28	pw_minus_plastic_soil_bacteria_130715
BC53	BARCODE_PH	LINKER_PH	29	pw_plus_plastic_soil_bacteria_130715
BC61	BARCODE_PH	LINKER_PH	30	pw_plus_plastic_soil_bacteria_130715
BC62	BARCODE_PH	LINKER_PH	31	pw_minus_plastic_soil_bacteria_130715
BC63	BARCODE_PH	LINKER_PH	32	tww_minus_plastic_soil_bacteria_130715
BC64	BARCODE_PH	LINKER_PH	33	tww_plus_plastic_soil_bacteria_130715
BC65	BARCODE_PH	LINKER_PH	34	pw_plus_plastic_soil_bacteria_130715
BC73	BARCODE_PH	LINKER_PH	35	pw_minus_plastic_soil_bacteria_130715
BC74	BARCODE_PH	LINKER_PH	36	tww_minus_plastic_soil_bacteria_130715
BC75	BARCODE_PH	LINKER_PH	37	tww_plus_plastic_soil_bacteria_130715
BC76	BARCODE_PH	LINKER_PH	38	tww_minus_plastic_soil_bacteria_130715
BC77	BARCODE_PH	LINKER_PH	39	tww_plus_plastic_soil_bacteria_130715
BC85	BARCODE_PH	LINKER_PH	40	pw_minus_plastic_soil_bacteria_130715
BC86	BARCODE_PH	LINKER_PH	41	pw_plus_plastic_soil_bacteria_130715
BC87	BARCODE_PH	LINKER_PH	42	tww_plus_plastic_soil_bacteria_200416
BC88	BARCODE_PH	LINKER_PH	43	tww_minus_plastic_soil_bacteria_200416
BC89	BARCODE_PH	LINKER_PH	44	pw_minus_plastic_soil_bacteria_200416
