#SampleID	BarcodeSequence	LinkerPrimerSequence	Samples	InputFileName
BC01	BARCODE_PH	LINKER_PH	1	BC01_reduced.fasta
BC02	BARCODE_PH	LINKER_PH	2	BC02_reduced.fasta
BC03	BARCODE_PH	LINKER_PH	3	BC03_reduced.fasta
BC04	BARCODE_PH	LINKER_PH	4	BC04_reduced.fasta
BC05	BARCODE_PH	LINKER_PH	5	BC05_reduced.fasta
BC06	BARCODE_PH	LINKER_PH	6	BC06_reduced.fasta
BC13	BARCODE_PH	LINKER_PH	7	BC13_reduced.fasta
BC14	BARCODE_PH	LINKER_PH	8	BC14_reduced.fasta
BC15	BARCODE_PH	LINKER_PH	9	BC15_reduced.fasta
BC16	BARCODE_PH	LINKER_PH	10	BC16_reduced.fasta
BC17	BARCODE_PH	LINKER_PH	11	BC17_reduced.fasta
BC18	BARCODE_PH	LINKER_PH	12	BC18_reduced.fasta
BC25	BARCODE_PH	LINKER_PH	13	BC25_reduced.fasta
BC26	BARCODE_PH	LINKER_PH	14	BC26_reduced.fasta
BC27	BARCODE_PH	LINKER_PH	15	BC27_reduced.fasta
BC28	BARCODE_PH	LINKER_PH	16	BC28_reduced.fasta
BC29	BARCODE_PH	LINKER_PH	17	BC29_reduced.fasta
BC30	BARCODE_PH	LINKER_PH	18	BC30_reduced.fasta
BC37	BARCODE_PH	LINKER_PH	19	BC37_reduced.fasta
BC38	BARCODE_PH	LINKER_PH	20	BC38_reduced.fasta
BC39	BARCODE_PH	LINKER_PH	21	BC39_reduced.fasta
BC40	BARCODE_PH	LINKER_PH	22	BC40_reduced.fasta
BC41	BARCODE_PH	LINKER_PH	23	BC41_reduced.fasta
BC42	BARCODE_PH	LINKER_PH	24	BC42_reduced.fasta
BC49	BARCODE_PH	LINKER_PH	25	BC49_reduced.fasta
BC50	BARCODE_PH	LINKER_PH	26	BC50_reduced.fasta
BC51	BARCODE_PH	LINKER_PH	27	BC51_reduced.fasta
BC52	BARCODE_PH	LINKER_PH	28	BC52_reduced.fasta
BC53	BARCODE_PH	LINKER_PH	29	BC53_reduced.fasta
BC61	BARCODE_PH	LINKER_PH	30	BC61_reduced.fasta
BC62	BARCODE_PH	LINKER_PH	31	BC62_reduced.fasta
BC63	BARCODE_PH	LINKER_PH	32	BC63_reduced.fasta
BC64	BARCODE_PH	LINKER_PH	33	BC64_reduced.fasta
BC65	BARCODE_PH	LINKER_PH	34	BC65_reduced.fasta
BC73	BARCODE_PH	LINKER_PH	35	BC73_reduced.fasta
BC74	BARCODE_PH	LINKER_PH	36	BC74_reduced.fasta
BC75	BARCODE_PH	LINKER_PH	37	BC75_reduced.fasta
BC76	BARCODE_PH	LINKER_PH	38	BC76_reduced.fasta
BC77	BARCODE_PH	LINKER_PH	39	BC77_reduced.fasta
BC85	BARCODE_PH	LINKER_PH	40	BC85_reduced.fasta
BC86	BARCODE_PH	LINKER_PH	41	BC86_reduced.fasta
BC87	BARCODE_PH	LINKER_PH	42	BC87_reduced.fasta
BC88	BARCODE_PH	LINKER_PH	43	BC88_reduced.fasta
BC89	BARCODE_PH	LINKER_PH	44	BC89_reduced.fasta
