#SampleID	BarcodeSequence	LinkerPrimerSequence	Samples	InputFileName
BC01	BARCODE_PH	LINKER_PH	1	BC01_reduced_filtered.fasta
BC02	BARCODE_PH	LINKER_PH	2	BC02_reduced_filtered.fasta
BC03	BARCODE_PH	LINKER_PH	3	BC03_reduced_filtered.fasta
BC04	BARCODE_PH	LINKER_PH	4	BC04_reduced_filtered.fasta
BC05	BARCODE_PH	LINKER_PH	5	BC05_reduced_filtered.fasta
BC06	BARCODE_PH	LINKER_PH	6	BC06_reduced_filtered.fasta
BC13	BARCODE_PH	LINKER_PH	7	BC13_reduced_filtered.fasta
BC14	BARCODE_PH	LINKER_PH	8	BC14_reduced_filtered.fasta
BC15	BARCODE_PH	LINKER_PH	9	BC15_reduced_filtered.fasta
BC16	BARCODE_PH	LINKER_PH	10	BC16_reduced_filtered.fasta
BC17	BARCODE_PH	LINKER_PH	11	BC17_reduced_filtered.fasta
BC18	BARCODE_PH	LINKER_PH	12	BC18_reduced_filtered.fasta
BC25	BARCODE_PH	LINKER_PH	13	BC25_reduced_filtered.fasta
BC26	BARCODE_PH	LINKER_PH	14	BC26_reduced_filtered.fasta
BC27	BARCODE_PH	LINKER_PH	15	BC27_reduced_filtered.fasta
BC28	BARCODE_PH	LINKER_PH	16	BC28_reduced_filtered.fasta
BC29	BARCODE_PH	LINKER_PH	17	BC29_reduced_filtered.fasta
BC30	BARCODE_PH	LINKER_PH	18	BC30_reduced_filtered.fasta
BC37	BARCODE_PH	LINKER_PH	19	BC37_reduced_filtered.fasta
BC38	BARCODE_PH	LINKER_PH	20	BC38_reduced_filtered.fasta
BC39	BARCODE_PH	LINKER_PH	21	BC39_reduced_filtered.fasta
BC40	BARCODE_PH	LINKER_PH	22	BC40_reduced_filtered.fasta
BC41	BARCODE_PH	LINKER_PH	23	BC41_reduced_filtered.fasta
BC42	BARCODE_PH	LINKER_PH	24	BC42_reduced_filtered.fasta
BC49	BARCODE_PH	LINKER_PH	25	BC49_reduced_filtered.fasta
BC50	BARCODE_PH	LINKER_PH	26	BC50_reduced_filtered.fasta
BC51	BARCODE_PH	LINKER_PH	27	BC51_reduced_filtered.fasta
BC52	BARCODE_PH	LINKER_PH	28	BC52_reduced_filtered.fasta
BC53	BARCODE_PH	LINKER_PH	29	BC53_reduced_filtered.fasta
BC61	BARCODE_PH	LINKER_PH	30	BC61_reduced_filtered.fasta
BC62	BARCODE_PH	LINKER_PH	31	BC62_reduced_filtered.fasta
BC63	BARCODE_PH	LINKER_PH	32	BC63_reduced_filtered.fasta
BC64	BARCODE_PH	LINKER_PH	33	BC64_reduced_filtered.fasta
BC65	BARCODE_PH	LINKER_PH	34	BC65_reduced_filtered.fasta
BC73	BARCODE_PH	LINKER_PH	35	BC73_reduced_filtered.fasta
BC74	BARCODE_PH	LINKER_PH	36	BC74_reduced_filtered.fasta
BC75	BARCODE_PH	LINKER_PH	37	BC75_reduced_filtered.fasta
BC76	BARCODE_PH	LINKER_PH	38	BC76_reduced_filtered.fasta
BC77	BARCODE_PH	LINKER_PH	39	BC77_reduced_filtered.fasta
BC85	BARCODE_PH	LINKER_PH	40	BC85_reduced_filtered.fasta
BC86	BARCODE_PH	LINKER_PH	41	BC86_reduced_filtered.fasta
BC87	BARCODE_PH	LINKER_PH	42	BC87_reduced_filtered.fasta
BC88	BARCODE_PH	LINKER_PH	43	BC88_reduced_filtered.fasta
BC89	BARCODE_PH	LINKER_PH	44	BC89_reduced_filtered.fasta
